month,non_interest_revenue,net_interest_income,total_revenue,provision,rewards_services,marketing,salaries_other,total_expenses,pretax_income,billed_business,vintage,classification,as_of_date
2025-01-01,1677.76,961.92,2639.68,201.92,1242.24,244.8,396.48,1883.52,554.24,52.576,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-02-01,1625.33,931.86,2557.19,195.61,1203.42,237.15,384.09,1824.66,536.92,50.933,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-03-01,1939.91,1112.22,3052.13,233.47,1436.34,283.05,458.43,2177.82,640.84,60.791,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-04-01,1828.2,994.29,2822.49,273.57,1309.11,264.0,422.73,1995.84,553.08,58.245,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-05-01,1828.2,994.29,2822.49,273.57,1309.11,264.0,422.73,1995.84,553.08,58.245,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-06-01,1883.6,1024.42,2908.02,281.86,1348.78,272.0,435.54,2056.32,569.84,60.01,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-07-01,1798.4,1035.52,2833.92,234.88,1326.4,264.0,416.0,2006.4,592.64,56.8,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-08-01,1854.6,1067.88,2922.48,242.22,1367.85,272.25,429.0,2069.1,611.16,58.575,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-09-01,1967.0,1132.6,3099.6,256.9,1450.75,288.75,455.0,2194.5,648.2,62.125,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-10-01,1771.2,975.6,2746.8,231.9,1368.9,239.1,441.9,2049.9,465.0,56.76,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-11-01,1830.24,1008.12,2838.36,239.63,1414.53,247.07,456.63,2118.23,480.5,58.652,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
2025-12-01,2302.56,1268.28,3570.84,301.47,1779.57,310.83,574.47,2664.87,604.5,73.788,FY2025 Actual,SYNTHETIC_ALLOCATED,2026-01-30
