month,non_interest_revenue,net_interest_income,total_revenue,provision,rewards_services,marketing,salaries_other,total_expenses,pretax_income,billed_business,vintage,classification,as_of_date
2025-01-01,1670.005264,962.016,2631.958823,238.0931,1197.418177,239.808063,374.631895,1811.919704,582.766251,53.263628,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-02-01,1617.817599,931.953,2549.71011,230.652691,1159.998859,232.314061,362.924648,1755.297214,564.554806,51.59914,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-03-01,1930.943587,1112.331,3043.202388,275.295147,1384.514767,277.278073,433.168128,2095.032158,673.823478,61.586071,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-04-01,1817.227914,981.189,2798.540161,238.44107,1319.833759,262.779941,397.387586,1979.734762,581.230754,59.11755,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-05-01,1817.227914,981.189,2798.540161,238.44107,1319.833759,262.779941,397.387586,1979.734762,581.230754,59.11755,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-06-01,1872.295426,1010.922,2883.344408,245.666556,1359.82872,270.74297,409.429633,2039.726725,598.843808,60.90899,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-07-01,1761.810002,1026.432,2788.142537,265.93067,1273.77321,251.815143,396.750383,1922.201307,599.385748,56.353891,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-08-01,1816.866564,1058.508,2875.271992,274.241004,1313.578622,259.684366,409.148833,1982.270098,618.116552,58.11495,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-09-01,1926.979689,1122.66,3049.5309,290.86167,1393.189448,275.422812,433.945731,2102.407679,655.578161,61.637069,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-10-01,1745.647812,969.54,2715.227556,240.713107,1276.449204,254.212389,419.257673,1950.232677,523.310906,56.640348,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-11-01,1803.836073,1001.858,2805.735141,248.736877,1318.99751,262.686135,433.232929,2015.240433,540.754603,58.52836,2025 AOP,MODEL_OUTPUT,2025-01-24
2025-12-01,2269.342156,1260.402,3529.795823,312.927038,1659.383965,330.476106,545.034975,2535.302481,680.304179,73.632453,2025 AOP,MODEL_OUTPUT,2025-01-24
