period,period_type,metric,value,classification,reporting_level
2022,FY,non_interest_revenue,16440.0,PUBLIC_ACTUAL,USCS
2022,FY,net_interest_income,7474.0,PUBLIC_ACTUAL,USCS
2022,FY,total_revenue,23914.0,PUBLIC_ACTUAL,USCS
2022,FY,provision,1021.0,PUBLIC_ACTUAL,USCS
2022,FY,rewards_services,10791.0,PUBLIC_ACTUAL,USCS
2022,FY,marketing,2744.0,PUBLIC_ACTUAL,USCS
2022,FY,salaries_other,3958.0,PUBLIC_ACTUAL,USCS
2022,FY,total_expenses,17493.0,PUBLIC_ACTUAL,USCS
2022,FY,pretax_income,5400.0,PUBLIC_ACTUAL,USCS
2022,FY,billed_business,553.0,PUBLIC_ACTUAL,USCS
2022,FY,cards_in_force,41.7,PUBLIC_ACTUAL,USCS
2022,FY,basic_cards,29.2,PUBLIC_ACTUAL,USCS
2022,FY,spend_per_basic,19514.0,PUBLIC_ACTUAL,USCS
2022,FY,loans_receivables,86.923,PUBLIC_ACTUAL,USCS
2022,FY,nco_rate,0.01,PUBLIC_ACTUAL,USCS
2022,FY,delinquency,0.011,PUBLIC_ACTUAL,USCS
2023,FY,non_interest_revenue,18464.0,PUBLIC_ACTUAL,USCS
2023,FY,net_interest_income,9652.0,PUBLIC_ACTUAL,USCS
2023,FY,total_revenue,28116.0,PUBLIC_ACTUAL,USCS
2023,FY,provision,2855.0,PUBLIC_ACTUAL,USCS
2023,FY,rewards_services,12808.0,PUBLIC_ACTUAL,USCS
2023,FY,marketing,2585.0,PUBLIC_ACTUAL,USCS
2023,FY,salaries_other,4435.0,PUBLIC_ACTUAL,USCS
2023,FY,total_expenses,19828.0,PUBLIC_ACTUAL,USCS
2023,FY,pretax_income,5433.0,PUBLIC_ACTUAL,USCS
2023,FY,billed_business,610.8,PUBLIC_ACTUAL,USCS
2023,FY,cards_in_force,43.8,PUBLIC_ACTUAL,USCS
2023,FY,basic_cards,30.7,PUBLIC_ACTUAL,USCS
2023,FY,spend_per_basic,20303.0,PUBLIC_ACTUAL,USCS
2023,FY,loans_receivables,97.996,PUBLIC_ACTUAL,USCS
2023,FY,nco_rate,0.02,PUBLIC_ACTUAL,USCS
2023,FY,delinquency,0.013,PUBLIC_ACTUAL,USCS
2024,FY,non_interest_revenue,20137.0,PUBLIC_ACTUAL,USCS
2024,FY,net_interest_income,11290.0,PUBLIC_ACTUAL,USCS
2024,FY,total_revenue,31427.0,PUBLIC_ACTUAL,USCS
2024,FY,provision,3029.0,PUBLIC_ACTUAL,USCS
2024,FY,rewards_services,14329.0,PUBLIC_ACTUAL,USCS
2024,FY,marketing,3051.0,PUBLIC_ACTUAL,USCS
2024,FY,salaries_other,4641.0,PUBLIC_ACTUAL,USCS
2024,FY,total_expenses,22021.0,PUBLIC_ACTUAL,USCS
2024,FY,pretax_income,6377.0,PUBLIC_ACTUAL,USCS
2024,FY,billed_business,654.8,PUBLIC_ACTUAL,USCS
2024,FY,cards_in_force,46.3,PUBLIC_ACTUAL,USCS
2024,FY,basic_cards,32.5,PUBLIC_ACTUAL,USCS
2024,FY,spend_per_basic,20707.0,PUBLIC_ACTUAL,USCS
2024,FY,loans_receivables,107.051,PUBLIC_ACTUAL,USCS
2024,FY,nco_rate,0.025,PUBLIC_ACTUAL,USCS
2024,FY,delinquency,0.013,PUBLIC_ACTUAL,USCS
2025,FY,non_interest_revenue,22307.0,PUBLIC_ACTUAL,USCS
2025,FY,net_interest_income,12507.0,PUBLIC_ACTUAL,USCS
2025,FY,total_revenue,34814.0,PUBLIC_ACTUAL,USCS
2025,FY,provision,2967.0,PUBLIC_ACTUAL,USCS
2025,FY,rewards_services,16557.0,PUBLIC_ACTUAL,USCS
2025,FY,marketing,3187.0,PUBLIC_ACTUAL,USCS
2025,FY,salaries_other,5293.0,PUBLIC_ACTUAL,USCS
2025,FY,total_expenses,25037.0,PUBLIC_ACTUAL,USCS
2025,FY,pretax_income,6810.0,PUBLIC_ACTUAL,USCS
2025,FY,billed_business,707.5,PUBLIC_ACTUAL,USCS
2025,FY,cards_in_force,48.3,PUBLIC_ACTUAL,USCS
2025,FY,basic_cards,34.1,PUBLIC_ACTUAL,USCS
2025,FY,spend_per_basic,21215.0,PUBLIC_ACTUAL,USCS
2025,FY,loans_receivables,114.368,PUBLIC_ACTUAL,USCS
2025,FY,nco_rate,0.025,PUBLIC_ACTUAL,USCS
2025,FY,delinquency,0.013,PUBLIC_ACTUAL,USCS
