scenario_id,scenario,case,fy_revenue_impact,expense_or_provision_impact,pti_impact,resulting_pti,management_recommendation,classification,month,monthly_pti_impact
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-01-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-02-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-03-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-04-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-05-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-06-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-07-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-08-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-09-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-10-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-11-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Low,-742.5,-286.0,-456.5,7437.6,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-12-01,-38.041666666666664
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-01-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-02-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-03-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-04-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-05-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-06-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-07-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-08-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-09-01,-69.16666666666667
S01,Consumer Spend Slowdown & Mix Shift,Base,-1350.0,-520.0,-830.0,7064.1,Slow acquisition if spend per account weakens for two quarters.,MODEL_OUTPUT,2026-10-01,-69.16666666666667
